dokumen,0.05,0.1,0.2,0.3
"Keringat mengucur pada wajah pemadam kebakaran, relawan, hingga warga awam yang bahu-membahu memadamkan api pada lahan gambut di sekitar rumah warga di di perbatasan Palangkaraya dan Pulang Pisau, Kalimantan Tengah, Rabu (19/09).",yes,yes,yes,yes
"Pada hari itu, parit yang dibuat di sekeliling lahan gambut yang terbakar - yang seharusnya dipenuhi air untuk mencegah perambatan api - sudah mengering.",yes,yes,yes,yes
"Akibatnya, petugas harus mencari sumur terdekat dan sumber air lainnya, lalu mengangkutnya bolak-balik ke titik api.",yes,yes,yes,yes
"Sekali jalan, mereka hanya bisa mengangkut 1.000 liter air dalam tangki yang dibawa di belakang mobil pikap, yang kemudian habis hanya dalam waktu 10 menit.",no,yes,yes,yes
"""Kesulitan kami yang terutama adalah sumber air.",no,no,no,no
"Jadi karena ini musim kemarau, Palangkaraya ini kering, sama sekali kering,"" tutur Zulkarnaen, Koordinator Taruna Siaga Bencana (Tagana) Kota Palangkaraya, kepada BBC News Indonesia.",no,no,no,no
"Selain kelangkaan sumber air, sifat alami gambut kering yang mudah terbakar dan 'menyimpan' bara di dalam rongga tanah, membuat pemadaman api memakan waktu yang lebih lama.",no,no,no,no
Setiap titik setidaknya memerlukan waktu satu jam.,no,no,no,no
"""Harus dipastikan, apinya mati di permukaan juga di dalam,"" kata Zulkarnaen.",no,no,no,no
Tagana Kota Palangkaraya - yang dipimpin Zulkarnaen - hanyalah satu dari ratusan tim yang terlibat pemadaman kebakaran hutan dan lahan (karhutla) di Kalimantan Tengah.,no,yes,yes,yes
"Selain mereka yang bergerak di bawah kementerian dan lembaga pemerintahan, sejumlah lembaga swadaya masyarakat pun ikut ambil bagian dalam penanganan karhutla.",no,yes,yes,yes
Youth Act Kalimantan salah satunya.,no,no,no,no
"Andrean Perdana, mahasiswa tingkat akhir di Sekolah Tinggi Ilmu Komputer Palangkaraya, memimpin para relawan muda Youth Act untuk membantu upaya pemadaman api di lapangan.",no,no,no,no
"Ia mengarahkan mereka untuk mengulur selang, menyalakan mesin pompa air, hingga memberikan dorongan semangat bagi anggota tim yang mulai kelelahan.",no,no,no,no
"Baginya, bergumul dengan api serta asap kebakaran hutan dan lahan bukan hal asing.",no,no,no,no
"""Dulu sudah sering ikut secara spontan pemadaman-pemadaman bersama warga di kampung dan teman-teman sekolah,"" ujar Andre, sapaan akrabnya.",no,no,no,no
"Pemuda asli Dayak itu bercerita tentang pengalamannya memadamkan api di belakang sekolahnya dulu di Kabupaten Kapuas, Kalimantan Tengah.",no,no,no,no
Api kerap muncul dari balik lahan gambut yang terletak dekat dari gedung sekolah.,no,no,no,no
"""Kami belum pulang (dari sekolah), tiba-tiba ada api membesar di belakang gedung sekolah.",no,no,no,no
"Dengan respons spontan, kita ambil ember, kita siramin,"" tuturnya.",no,no,no,no
"Kejadian itu, menurutnya, terjadi beberapa kali di sekitar sekolahnya dulu.",no,no,no,no
"Ia, teman dan gurunya memadamkan api dengan menyiram serta memangkas tanaman kering di sekitar lokasi.",no,no,no,no
"Yang membuatnya tidak habis pikir, kejadian itu terus berulang hingga sekarang dengan skala yang lebih besar.",no,no,no,no
"Ia mengaku ""tidak bisa terima, dalam hati"" melihat bencana di hadapannya.",no,no,no,no
"""Melihat orang-orang sudah tidak sanggup bernapas, di situ saya berpikir, apa yang terjadi sebenarnya?""",no,no,no,no
"Untuk itulah sejak 2016, setahun setelah kabut asap terparah akibat kebakaran besar hutan dan lahan, Andre memutuskan bergabung dengan tim relawan.",no,no,yes,yes
"""Ini adalah perbuatan orang-orang tidak bertanggung jawab,"" imbuhnya dengan nada geram.",no,no,no,no
"Tujuannya hanya satu: menghentikan api yang menghancurkan 'rumahnya', Pulau Kalimantan.",no,no,yes,yes
"""Ini bisa dicegah, ini bisa dihentikan.",no,no,no,no
Karena ini bukan bencana alam seperti gempa atau tsunami yang datangnya tiba-tiba - hanya Tuhan yang tahu.,no,no,yes,yes
"Tidak,"" pungkas Andre.",no,no,no,no
"Menghentikan rambatan api karhutla nyatanya bukan hanya dilakoni para pemadam profesional dan relawan, melainkan juga warga setempat.",no,no,yes,yes
"Seperti I Gusti Putu Tama yang menjaga kebun kecil milik pribadi di Kecamatan Jekan Raya, Palangkaraya.",no,no,yes,yes
"""Ini tanahnya istri saya,"" katanya.",no,no,no,no
Lahannya 'hanya' berukuran 20x40 meter yang terdiri dari tanah gambut.,no,no,no,no
"Setelah pensiun, ia sengaja menghabiskan waktu di lahan tersebut untuk bercocok tanam.",no,no,no,no
"""Ini pohon nanas, di depan ini sudah mati semua.",no,no,no,no
"Ada rambutan berapa pohon, pohon petai ada juga,"" tutur Gusti sambil menunjukkan kepada kami kondisi tanaman-tanamannya yang kini terlihat gosong.",no,no,yes,yes
Sebagian besar habis terbakar.,no,no,no,yes
Api sebelumnya merambat dari lahan gambut milik orang lain di sekitarnya.,no,no,no,yes
"Ironisnya, selama dua pekan terakhir, Gusti mengaku hanya ia sendiri pemilik lahan di kawasan itu yang ikut turun memadamkan api.",no,no,no,yes
"""Sepandangan mata saya selama berapa hari ini nggak ada yang lewat.",no,no,no,no
"Ada satu, cuma nengok aja, lalu pergi lagi.",no,no,no,no
"Tidak ada kepedulian,"" imbuhnya.",no,no,no,no
"Alhasil, pria paruh baya itu pun turut memadamkan api di lahan milik orang lain, agar percikan api tidak menjalar lebih parah ke kebunnya.",no,no,no,yes
"Sebelumnya, relawan datang membantu melawan api, namun terhenti karena habisnya sumber air dari sumur galian terdekat.",no,no,no,yes
"Mobil dari tim pemadam kebakaran tidak bisa masuk ke dekat lahannya, karena akses berupa pematang yang sempit turut menjadi rapuh karena terkena rambatan api.",no,no,no,yes
"""Kalau mobil-mobil pemadam itu mungkin di daerah-daerah jalan besar aja.",no,no,no,no
"Waterbombing-nya lewat aja, tapi tidak dibom di sini,"" katanya.",no,no,no,no
"Gusti lantas menggali sendiri sumur di lahan miliknya untuk bisa mendapatkan air, demi bisa terus menjaga lahannya dari kerusakan yang lebih parah akibat api.",no,no,no,no
"Soal kerugian, ia tidak bisa menghitungnya.",no,no,no,no
Kebun itu ia rawat agar sewaktu-waktu bisa mengajak anak-cucunya berkunjung dan menikmati hasil panen buah-buahan yang ditanamnya.,no,no,no,no
"""Kalau harga satu pohon rambutan sih berapa saja, 20 ribu?",no,no,no,no
"Tapi merawatnya itu empat tahunan loh, Mas,"" ungkap Gusti getir.",no,no,no,no
"""Tanah sudah begini keadaannya, merawatnya sulit.",no,no,no,no
"Perlu tenaga, biaya, mencangkuli lagi karena berlubang-lubang.",no,no,no,no
"Kerugiannya bisa dilihat sendiri,"" tutupnya.",no,no,no,no
