dokumen,0.05,0.1,0.2,0.3
"Gempa bumi kembali melanda, kali ini di Sukabumi dengan kekuatan 5,4 Skala Richter, dengan pusat gempa di Samudera Hindia.",yes,yes,yes,yes
"Tak ada ancaman tsunami, namun guncangannya terasa hingga Bandung dan Depok.",yes,yes,yes,yes
"Badan Meteorologi Klimatologi dan Geofisika (BMKG) menyebut dalam cuitannya, gempa pada Selasa (8/1) itu terjadi pada pukul 16.54 WIB.",yes,yes,yes,yes
"""Pusat gempa ada di laut, di 113 km barat daya kota Sukabumi, Jawa Barat,"" tulis BMKG.",no,yes,yes,yes
"""Kedalaman pusat gempa 10 km, lanjutnya,"" namun ""tidak berpotensi tsunami,"" tandasnya.",no,yes,yes,yes
"Sebelumnya, Sukabumi dilanda bencana longsor, akibat hujan deras, yang menewaskan sejumlah orang.",no,no,no,no
"Sementara gempa bumi, melanda Manokwari, tanpa menimbulkan kerusakan dan korban berarti.",no,no,no,no
"Masih belum jelas, apakah ada kerusakan atau korban akibat gempa kali ini.",no,no,no,no
"Namun Sri Wahyu Kurniawati, seorang guru berusia 41 tahun, di desa Warung Kiara, Kabupaten Sukabumi mengaku sempat panik.",no,no,no,no
"""Ya getarannya sekitar 20 detik.",no,no,no,no
"Walaupun tidak ada benda atau barang yang berjatuhan,"" katanya.",no,no,no,no
Saat itu ia sedang bersama keponakannya seorang bocah bernama Febby.,no,no,no,no
"""Febby berteriak, 'Gempa!",no,no,no,no
"Cepat keluar, ada gempa!""",no,no,no,no
Kami pun langsung lari keluar rumah.,no,no,no,no
"Takut juga,"" katanya.",no,no,no,no
"Sejumlah tetangganya juga sudah berada di luar rumah, menghindari kemungkinan buruk kalau gempa besar merusak rumah mereka dan membahayakan jiwa.",no,no,no,no
"Sesudah beberapa lama situasinya kembali normal, barulah ia berani kembali masuk rumah.",no,no,no,no
"Lain lagi dengan Wahyudin, karyawan di pusat kota Sukabumi mengatakan, ia merasakan gempa sekitar pkl 16.50.",no,no,no,no
"""Saya lihat lampu di kantor bergoyang-goyang, dan merasa ada getaran, mungkin sekitar 20 detik, tapi tidak keras.""",no,no,no,no
"Wahyudin, bersama sejumlah kawannya tidak keluar kantor saat gempa mengguncang, ""Saya tidak tahu pasti apakah ini gempa atau bukan, makanya kami tidak lari keluar,"" katanya.",no,no,no,no
Hal yang sama terjadi pada ibu Entin 67 tahun yang tinggal di pusat kota Sukabumi.,no,no,no,no
"""Saya tidak tahu ini gempa atau bukan, karena hujan lumayan deras di luar.",no,no,no,no
"Saya diam saja sampai getaran berhenti,"" katanya kepada Ani Mulyani dari BBC Indonesia.",no,no,no,no
"""Tetangga di sekitar pun tidak keluar rumah, berhubung hujan deras,"" tandasnya.",no,no,no,no
"Getaran gempa juga dirasakan sampai Bandung dan Depok, menurut warga setempat.",no,no,no,no
"Maya, seorang warga Bandung dan Pepy, seorang ibu rumah tangga di Depok, menyatakan sempat panik dan keluar rumah.",no,no,no,no
"""Saya sedang tiduran, tiba-tiba saya merasa ada getaran dan keluar rumah bersama anak-anak,"" kata Pepy.",no,no,no,no
Data Badan Meteorologi Klimatologi dan Geofisika (BMKG) menyebut hampir setiap hari wilayah-wilayah di Indonesia dilanda gempa baik dengan skala magnitudo rendah hingga sedang.,no,yes,yes,yes
