dokumen,0.05,0.1,0.2,0.3
"Gempa lagi: berpusat di Sukabumi, terasa hingga Bandung dan Depok.",no,no,no,no
"Gempa bumi kembali melanda, kali ini di Sukabumi dengan kekuatan 5,4 Skala Richter, dengan pusat gempa di Samudera Hindia.",yes,yes,yes,yes
"Tak ada ancaman tsunami, namun guncangannya terasa hingga Bandung dan Depok.",no,no,no,no
"Badan Meteorologi Klimatologi dan Geofisika (BMKG) menyebut dalam cuitannya, gempa pada Selasa (8/1) itu terjadi pada pukul 16.54 WIB.",no,no,no,yes
"""Pusat gempa ada di laut, di 113 km barat daya kota Sukabumi, Jawa Barat,"" tulis BMKG.",yes,yes,yes,yes
"""Kedalaman pusat gempa 10 km, lanjutnya,"" namun ""tidak berpotensi tsunami,"" tandasnya.",no,no,no,no
"Sebelumnya, Sukabumi dilanda bencana longsor, akibat hujan deras, yang menewaskan sejumlah orang.",no,no,yes,yes
"Sementara gempa bumi, melanda Manokwari, tanpa menimbulkan kerusakan dan korban berarti.",no,no,no,yes
"Masih belum jelas, apakah ada kerusakan atau korban akibat gempa kali ini.",no,no,no,no
"Namun Sri Wahyu Kurniawati, seorang guru berusia 41 tahun, di desa Warung Kiara, Kabupaten Sukabumi mengaku sempat panik.",no,no,no,no
"""Ya getarannya sekitar 20 detik.",no,no,no,no
"Walaupun tidak ada benda atau barang yang berjatuhan,"" katanya.",no,no,no,no
Saat itu ia sedang bersama keponakannya seorang bocah bernama Febby.,no,no,no,no
"""Febby berteriak, 'Gempa!",no,no,no,no
"Cepat keluar, ada gempa!""",no,no,no,no
Kami pun langsung lari keluar rumah.,no,no,no,no
"Takut juga,"" katanya.",no,no,no,no
"Sejumlah tetangganya juga sudah berada di luar rumah, menghindari kemungkinan buruk kalau gempa besar merusak rumah mereka dan membahayakan jiwa.",no,yes,yes,yes
"Sesudah beberapa lama situasinya kembali normal, barulah ia berani kembali masuk rumah.",no,no,no,no
"Lain lagi dengan Wahyudin, karyawan di pusat kota Sukabumi mengatakan, ia merasakan gempa sekitar pkl 16.50.",no,no,no,yes
"""Saya lihat lampu di kantor bergoyang-goyang, dan merasa ada getaran, mungkin sekitar 20 detik, tapi tidak keras.""",no,no,no,no
"Wahyudin, bersama sejumlah kawannya tidak keluar kantor saat gempa mengguncang,  ""Saya tidak tahu pasti apakah ini gempa atau bukan, makanya kami tidak lari keluar,"" katanya.",no,no,no,no
Hal yang sama terjadi pada ibu Entin 67 tahun yang tinggal di pusat kota Sukabumi.,no,no,no,no
"""Saya tidak tahu ini gempa atau bukan, karena hujan lumayan deras di luar.",no,no,no,no
"Saya diam saja sampai getaran berhenti,"" katanya kepada Ani Mulyani dari BBC Indonesia.",no,no,no,no
"""Tetangga di sekitar pun tidak keluar rumah, berhubung hujan deras,"" tandasnya.",no,no,no,no
"Getaran gempa juga dirasakan sampai Bandung dan Depok, menurut warga setempat.",no,no,no,yes
"Maya, seorang warga Bandung Pepy, seorang ibu rumah tangga di Depok, menyatakan sempat panik dan keluar rumah.",no,no,no,yes
"""Saya sedang tiduran, tiba-tiba saya merasa ada getaran dan keluar rumah bersama anak-anak,"" kata Pepy.",no,no,no,no
Data Badan Meteorologi Klimatologi dan Geofisika (BMKG) menyebut hampir setiap hari wilayah-wilayah di Indonesia dilanda gempa baik dengan skala magnitudo rendah hingga sedang.,yes,yes,yes,yes
"Deputi Bidang Geofisika BMKG, Muhammad Fadly, mengatakan ada peningkatan frekuensi gempa bumi pada 2018 dibanding tahun-tahun sebelumnya.",no,yes,yes,yes
"""Terus ada gempa bumi, baik di Palu, Sulawesi Tengah, Sulawesi Selatan, Lombok, Aceh, Sumatera, Nias.",no,no,no,no
Jadi memang saat ini sesar atau patahan itu sedang aktif-aktifnya.,no,no,no,no
"Tapi tidak apa-apa, yang penting tidak besar magnitudonya.",no,no,no,no
"Itu kan pelepasan energi untuk mencapai kestabilan,"" ujar Deputi Bidang Geofisika BMKG, Muhammad Fadly, dalam percakapan dengan BBC News Indonesia, beberapa waktu lalu.",no,no,yes,yes
"""Kecuali di suatu tempat belum ada gempa, tapi kita tahu ada sesar atau patahan di sana.",no,no,no,no
"Itu yang bahaya,"" sambungnya.",no,no,no,no
Karena itu saban hari BMKG bekerja mendeteksi goncangan-goncangan akibat gempa dengan menggunakan 175 seismograf.,no,no,yes,yes
"Alat itu, menurut Muhamad Fadly, sesungguhnya masih sangat kurang dari angka ideal yakni 1.000 seismograf.",no,no,no,no
"Ia berkaca pada Jepang yang luas negaranya seperlima Indonesia saja, punya 1.500 alat deteksi.",no,no,no,no
"""Sensor itu kan dipasang sejak 2006.",no,no,no,no
"Kalau sekarang berarti sudah banyak yang rusak, pemeliharaannya juga setengah mati.",no,no,no,no
"Jadi yang sudah tidak berfungsi, kita ganti.",no,no,no,no
"Jadi ya sampai jumlahnya tetap segitu saja,"" jelasnya.",no,no,no,no
"Lantaran kurangnya seismograf, data gempa bumi yang diterima dan diolah BMKG tidak presisi.",no,no,no,yes
"Karena itu, dia berharap tahun depan BMKG bisa menambah alat pendeteksi itu hingga mencapai 200.",no,no,no,no
"""Ya meski masih kurang, tapi karena keterbatasan anggaran.""",no,no,no,no
"Meski tak bisa memprediksi kapan gempa bumi terjadi, BMKG akan memaksimalkan peralatan yang ada untuk menyebarkan informasi kepada pemerintah daerah maupun Badan Nasional Penanggulangan Bencana (BNPB).",no,yes,yes,yes
"Beberapa medium yang dipakai seperti media sosial, website, dan aplikasi berbasis telepon pintar.",no,no,no,no
"Sementara itu, koordinasi antarlembaga yang selama ini macet, kata Muhamad Fadly, tengah dicarikan jalan keluarnya.",no,no,no,no
Sebab BMKG hanya bisa mendeteksi terjadinya tsunami yang disebabkan gempa bumi.,no,no,yes,yes
"Sedangkan penyebab dari gunung api atau longsor, nihil.",no,no,no,no
"""Gunung api di Indonesia kan banyak, kalau jaringan BMKG bisa masuk ke situ, pemantauan bisa jadi lebih cepat.",no,no,yes,yes
"Jadi ke depan sudah dibicarakan supaya kita bisa masuk ke jaringan PVMBG.""",no,no,no,no
